city,date,pm2.5,pm10,no,no2,nox,nh3,co,so2,o3,aqi
Ahmedabad,1/1/2015,192.89,136.78,0.92,18.22,17.15,18.9,0.92,27.64,133.36,346
Bengaluru,1/1/2015,192.89,136.78,3.26,17.33,10.88,20.36,0.33,3.54,10.73,346
Chennai,1/1/2015,192.89,136.78,16.3,15.39,22.68,4.59,1.17,9.2,11.35,346
Delhi,1/1/2015,313.22,607.98,69.16,36.39,110.59,33.85,15.2,9.25,41.68,472
Lucknow,1/1/2015,313.22,607.98,2.11,13.46,4.57,33.85,12.15,169.57,25.92,472
Mumbai,1/1/2015,313.22,607.98,2.11,13.46,27.38,33.85,0,169.57,25.92,472
Ahmedabad,2/1/2015,313.22,607.98,0.97,15.69,16.46,33.85,0.97,24.55,34.06,472
Bengaluru,2/1/2015,313.22,607.98,6.05,19.73,14.14,23.74,1.35,3.97,22.77,472
Chennai,2/1/2015,313.22,607.98,16.49,13.42,23.09,7.83,1.23,8.61,9.16,472
Delhi,2/1/2015,186.18,269.55,62.09,32.87,88.14,31.83,9.54,6.65,29.97,454
Lucknow,2/1/2015,186.18,269.55,2.37,10.76,3.8,31.83,14,169.46,21.66,454
Mumbai,2/1/2015,186.18,269.55,2.37,10.76,26.2,31.83,0,169.46,21.66,454
Ahmedabad,3/1/2015,186.18,269.55,17.4,19.3,29.7,31.83,17.4,29.07,30.7,454
Bengaluru,3/1/2015,186.18,269.55,11.91,19.88,20.72,4.32,17.4,13.61,12.03,454
Chennai,3/1/2015,186.18,269.55,9.72,19.56,9.99,4.63,0.77,48.23,13.45,454
Delhi,3/1/2015,87.18,131.9,25.73,30.31,47.95,69.55,10.61,2.65,19.71,143
Lucknow,3/1/2015,87.18,131.9,2.27,12.43,4.22,69.55,12.78,169.77,22.4,143
Mumbai,3/1/2015,87.18,131.9,2.27,12.43,26.04,69.55,0,169.77,22.4,143
Ahmedabad,4/1/2015,87.18,131.9,1.7,18.48,17.97,69.55,1.7,18.59,36.08,143
Bengaluru,4/1/2015,87.18,131.9,7.45,21.61,16.88,0.87,5.05,6.52,17.7,143
Chennai,4/1/2015,87.18,131.9,9.6,16.2,11.71,5.23,1,27.96,10.33,143
Delhi,4/1/2015,151.84,241.84,25.01,36.91,48.62,130.36,11.54,4.63,25.36,319
